TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
TRAFFIC SIGNAL,RAIN,DUSK,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"As I was cruising down the straight and level road at dusk, I noticed the traffic signal up ahead turned red. The rain was coming down steadily, making the roadway surface wet and a bit slippery. Despite the inclement weather, I was cautious and adjusted my speed to the posted limit of 30 mph. The road was not divided, so I kept an eye out for oncoming traffic as I approached the intersection. The dim lighting conditions made it a bit challenging to see, but I stayed focused on the road ahead."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road, with a clear sky above me. The traffic signal ahead was green as I approached, guiding me along the dark but well-lit street. The road surface was dry, making for smooth driving conditions despite the darkness. The posted speed limit of 30 kept me in check as I cruised down the undivided roadway. It felt peaceful and quiet as I continued on my way, enjoying the tranquility of the night drive."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the divided road with a median barrier, soaking in the clear weather and bright daylight. There weren't any traffic control devices around, just a straight and level alignment ahead. The dry roadway surface made the drive smooth as I stuck to the posted speed limit of 30. It felt like a leisurely journey, with the sun shining down and no obstructions in sight."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, enjoying the beautiful daylight and clear weather. The traffic signal ahead was on as I approached, signaling me to slow down. The road surface was dry, providing good traction for my vehicle. The posted speed limit of 30 mph kept me in check, and I made sure to stay within the limit. The trafficway was not divided, so I remained mindful of oncoming traffic. Overall, it was a pleasant drive, and I felt at ease behind the wheel."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, approaching a four-way intersection with a traffic signal ahead. It was dark outside, but thankfully the road was well-lit. The rain had started to come down, making the roadway surface wet and a bit slippery. I kept in mind that the posted speed limit was 30 mph, so I made sure to stay within that range. Despite the weather conditions, I remained cautious and alert, ensuring that I could react quickly if needed."
TRAFFIC SIGNAL,RAIN,DUSK,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I drove down the straight and level road, I noticed the traffic signal up ahead was showing red. It was starting to rain, making the road surface wet. The dusk setting added a gloomy atmosphere to the surroundings. The speed limit of 30 seemed appropriate for the conditions. The road wasn't divided, so I had to be extra cautious of oncoming traffic. Despite the wet conditions, I maintained a steady pace, keeping an eye out for any unexpected obstacles. The combination of raining, decreasing visibility, and slippery road surface made me grip the steering wheel a bit tighter. The surroundings seemed to blend into the darkness as I approached the intersection."
STOP SIGN/FLASHER,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,T-INTERSECTION,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road on a sunny day, the weather was clear and the road was dry. As I approached the T-intersection, I noticed a stop sign ahead, so I began to slow down. The posted speed limit was 30, so I made sure to keep my speed in check. The daylight made visibility perfect, allowing me to see any potential obstacles clearly. The intersection was quiet, with no other vehicles around. The traffic control device was a stop sign, reminding me to come to a complete halt before proceeding. Everything seemed calm and peaceful as I approached the intersection."
STOP SIGN/FLASHER,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, following the posted speed limit of 30 mph. The darkness enveloped the surroundings, but the weather was clear, making visibility decent. Approaching an intersection, I noticed a stop sign with flashers ahead. The road surface was dry, offering good traction as I continued on the undivided trafficway. The beams of my headlights cut through the night, illuminating my path. The stop sign loomed closer, and I could hear the gentle hum of my engine as I prepared to come to a halt."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT ON GRADE,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"So there I was, cruising down the one-way street under the daylight. The traffic signal ahead turned red, so I gently stepped on the brakes, bringing my speed down to 30 mph. The rain made the road glisten, creating a slick surface as I approached the straight, level stretch of road. Despite the wet road conditions, my trajectory remained aligned, and I stayed within the boundaries of the lane. The surroundings were illuminated by the natural light of the day, giving a clear view of the road ahead. The roadway didn't present any obstacles or surprises, and I maintained a cautious speed given the weather conditions. The familiar route felt almost serene in the rain, with the wet asphalt reflecting the passing cars and buildings. Little did I know, what was about to come next would change the course of my day."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,20,ONE-WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level one-way street with no traffic control devices in sight. The weather and lighting conditions were unknown, adding a mysterious vibe to the drive. The surface of the road felt smooth beneath my tires, although I couldn't quite place the exact condition. I made a mental note to check the speedometer - the posted speed limit was 20, so I eased off the gas pedal a bit. The lack of other cars on the road gave me a sense of freedom as I enjoyed the quiet journey ahead."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",INCAPACITATING INJURY,1,"I was driving down a straight and level road under the clear skies of a sunny day, with the traffic signal ahead blinking green. The road was dry, with my speed matching the posted limit of 30 miles per hour. The street was not divided, so I made sure to stay in my lane as I cruised along the familiar route. The daylight made visibility crystal clear, allowing me to see pedestrians and cars around me. The peaceful journey continued as I navigated through the traffic, enjoying the pleasant drive with the radio on."
NO CONTROLS,FREEZING RAIN/DRIZZLE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in place. The darkness had already settled in, but luckily the road was well lit. The freezing rain and drizzle made the road surface slippery and wet, which definitely added to the challenge of driving. I tried to keep my speed in check, as the posted speed limit was 30 mph. The road was not divided, so I had to be extra cautious of oncoming traffic. Despite the treacherous conditions, I kept my focus on the road ahead, making sure to stay alert for any potential hazards. The combination of the wet surface and limited visibility due to the darkness and freezing rain definitely heightened my sense of awareness as I continued on my journey."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,35,FOUR WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised down the road on a straight and level stretch, I noticed the traffic signal ahead indicating it was a four-way intersection. The weather was clear, and though darkness had fallen, the road was well lit. The dry surface beneath my tires made for smooth driving at the posted speed limit of 35 miles per hour. The familiar layout of the intersection gave me confidence as I approached, observing the orderly flow of vehicles in all directions. Despite the darkness, the visibility was good, thanks to the well-lit surroundings. The area seemed quiet and peaceful, with no signs of trouble. I kept my eyes on the road ahead, mindful of the traffic signal and the vehicles around me, as I navigated through the intersection smoothly."
TRAFFIC SIGNAL,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road at dawn, the sky just starting to lighten up. The traffic signal ahead turned green, so I kept a steady pace on the straight and level alignment. The road was dry, and I could see clearly in the clear weather. The posted speed limit was 30, so I made sure to stay within that range. It was a four-way intersection, with other vehicles waiting their turn at the stop signs. I felt at ease, the peaceful morning setting the tone for a smooth journey ahead."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road where the only traffic control device was a stop sign flashing in the dark, but the road was well-lit so it wasn't too bad. The weather was clear but the road surface was wet, so I had to be extra cautious with my speed, especially since the posted speed limit was 30. The road wasn't divided, so I had to stay in my lane and watch out for oncoming traffic. Although it was a bit nerve-wracking with the wet road, I just had to stay focused and pay attention to my surroundings."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straightforward and level road with no traffic controls in sight. Despite the darkness setting in, the weather was clear, and the roadway surface was dry. The posted speed limit was 30 miles per hour, and the trafficway was undivided. The surroundings were illuminated by my headlights, cutting through the darkness as I navigated the route. The lack of traffic control devices meant that it was up to me to stay alert and cautious as I continued on my journey. The road ahead stretched out in a seemingly endless line, with no obstacles in sight. The quiet surroundings added to the serene atmosphere, allowing me to focus on the task at hand – reaching my destination safely."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising down the road, no traffic lights or stop signs in sight, just me and the open pathway ahead. The weather was clear, the sun shining bright in the middle of the day, giving me a clear view of the straight and level road in front of me. The pavement was dry beneath my tires, offering a smooth journey as I stuck to the posted speed limit of 30mph. The trafficway wasn't divided, but it didn't bother me much as I enjoyed the simplicity of the route."
